Subject,Chapter,Level,Category,Question,Options,Answer,Explanation
Accounting 1st,Chapter 2,Dinajpur 2019,Board,Started with 25k cash and 5k personal loan. How much is credited to Capital?,"a) 30,000 b) 25,000 c) 20,000 d) 5,000",b,Only the owner's personal cash (25k) is capital. The loan is a separate liability.
Accounting 1st,Chapter 2,Dinajpur 2019,Board,A Debit Balance in the Ledger represents: i. Assets; ii. Expenses; iii. Income.,a) i b) ii c) i & ii d) i & iii,c,"According to the fundamental rules, Assets and Expenses/Losses always show a Debit balance. Liabilities, Income, and Equity show Credit balances."
Accounting 1st,Chapter 2,Combined 2018,Board,"What does ""2/10, n/30"" mean?",a) 2% for 20d b) 10% for 30d c) 2% for 10d d) 10% for 20d,c,It means a 2% cash discount is available if paid within 10 days.
Accounting 1st,Chapter 2,Combined 2018,Board,"Features of a Cash Receipt Journal: (i. Cash trans, ii. Special journal, iii. Debit balance)",a) i & ii b) ii & iii c) i & iii d) All,a,It is a special journal designed strictly for recording cash inflows.
Accounting 1st,Chapter 2,Dhaka 2017,Board,What does a Credit balance in a Subsidiary Ledger (Accounts Payable) mean?,a) Debt (Dena) b) Receivable (Paona) c) Capital d) Expense,a,A credit balance for a supplier (Accounts Payable) represents a liability (Dena).
Accounting 1st,Chapter 2,Dhaka 2017,Board,Which of the following accounts shows a Credit balance?,a) Depreciation b) Share Disc c) Supplies d) Interest Rec,d,"Interest Received is income, which naturally carries a Credit balance."
Accounting 1st,Chapter 2,Comilla 2017,Board,The Cash Book functions as: i. Journal; ii. Ledger; iii. Trial Balance.,"a) i & ii b) i & iii c) ii & iii d) i, ii & iii",a,The Cash Book is unique as it is a book of original entry (Journal) and a book of final entry (Ledger) for cash/bank.
Accounting 1st,Chapter 2,Sylhet 2017,Board,"Answer the following question based on the information below:
Cash Account
Date | Particulars | Debit | Credit | Balance Debit | Balance Credit
2016 July 01 | Capital Account | 5,000 | | |
July 20 | Bank Account | | 1,000 | |
July 31 | Rent Account | 500 | | |
Q. What is the balance of the Cash Account on July 31, 2016?","a) 4,500 b) 5,500 c) 6,000 d) 6,500",a,"(5,000 + 500) - 1,000 = 4,500."
Accounting 1st,Chapter 2,Sylhet 2017,Board,"Based on the provided Cash Account ledger, which transactions occurred? i. Cash capital intro 5,000; ii. Rent paid 500; iii. Bank withdrawal 1,000.","a) i & ii b) i & iii c) ii & iii d) i, ii & iii",b,"Statement i is a definite inflow (Debit), and statement iii is a definite movement involving the bank recorded on the Credit side. Statement ii is positioned incorrectly for a standard ""payment,"" leading to the selection of i ও iii."
Accounting 1st,Chapter 2,Sylhet 2017,Board,"Based on the same Cash Account, which journal entries are correct? i. Cash Dr, Bank Dr, Rent Dr, Capital Cr; ii. Cash Dr, Capital Cr, Rent Cr; iii. Bank Dr, Cash Cr.","a) i & ii b) i & iii c) ii & iii d) i, ii & iii",c,"Why (c) is the Correct Option:
Statement i is incorrect: It suggests Bank and Rent are both Debited along with Cash, which contradicts the ledger where Bank is on the Credit side.

Statement ii is consistent: It correctly identifies the accounts that were Credited (Capital and Rent) against the Cash Debit.

Statement iii is consistent: It correctly identifies that when Cash is Credited, the corresponding Bank account is Debited.

Therefore, the correct journal entries reflected are found in statements ii ও iii."
Accounting 1st,Chapter 2,Sylhet 2017,Board,"Op: Rec 20k, Pay 18k, Assets 50k, Stock 24k. Opening Capital?","a) 44,000 b) 70,000 c) 76,000 d) 94,000",c,"Cap = (20k + 50k + 24k) - 18k = 76,000."
Accounting 1st,Chapter 2,Sylhet 2017,Board,"Paid 18k, Cl Pay 12k, Op Pay 18k. Credit Purchase?",a) 6k b) 12k c) 18k d) 30k,b,"Purchase = (12,000 + 18,000) - 18,000 = 12,000."
Accounting 1st,Chapter 2,Sylhet 2017,Board,"Sales 25k, Cl Rec 25k, Op Rec 20k. Cash from debtors?",a) 5k b) 20k c) 25k d) 45k,b,"Cash = (20,000 + 25,000) - 25,000 = 20,000."
Accounting 1st,Chapter 2,Rajshahi 2017,Board,"If goods are withdrawn at ""Sales Price,"" which account is credited?",a) Payable b) Receivable c) Sales d) Purchase,c,Using sales price means treating the withdrawal as a regular sale.
Accounting 1st,Chapter 2,Jessore 2017,Board,Why record transactions in the Journal immediately?,a) Ledger help b) Reduce forgetting c) Reduce errors d) Permanent,b,Recording immediately ensures data is not forgotten or lost.
Accounting 1st,Chapter 2,Jessore 2017,Board,Customer pays directly to the bank. Where in a single-column cash book?,a) Debit b) Credit c) Both d) None,d,"Single-column books only record physical cash, not bank transactions."
Accounting 1st,Chapter 2,Jessore 2017,Board,"Cash 1.05L, Bank 1.1L, Furn 1.15L, Stock 1.2L. Total Assets?",a) 4.50L b) 4.53L c) 5.00L d) 5.01L,a,"Total = 1.05 + 1.10 + 1.15 + 1.20 = 4,50,000."
Accounting 1st,Chapter 2,Jessore 2017,Board,"(Based on previous) Pay 33k, Due Sal 18k. Opening Capital?",a) 1.05L b) 3.99L c) 5.01L d) 5.16L,b,"Cap = Assets (4.50L) - Liab (51,000) = 3,99,000."
Accounting 1st,Chapter 2,Jessore 2017,Board,When are Capital and Liability accounts debited?,a) Decrease b) Increase c) C up/L down d) C down/L up,a,"According to modern rules, these accounts are debited when they decrease."
Accounting 1st,Chapter 2,Jessore 2017,Board,Sold 10k goods via crossed check. Which account is debited?,a) Check b) Sales c) Bank d) Cash,c,Crossed checks must go through the Bank account.
Accounting 1st,Chapter 2,Chittagong 2017,Board,"Correct journal for ""Providing a loan to Hasan""?","a) Cash Dr b) Hasan Dr d) Loan Dr, Cash Cr",d,"This creates a receivable asset: Hasan's Loan A/C Dr, Cash Cr."
Accounting 1st,Chapter 2,Barisal 2017,Board,Which accounts are affected when a deposited check is dishonored? i. Bank; ii. Accounts Receivable; iii. Accounts Payable.,"a) i & ii b) i & iii c) ii & iii d) i, ii & iii",a,Dishonor reduces the bank balance (Cr) and increases the amount the customer owes (Dr Receivable).
Accounting 1st,Chapter 2,Dinajpur 2017,Board,Which is NOT a step of the accounting cycle?,a) Journal b) Ledger c) Cash Book d) Trial Balance,c,"Cash Book is a specific ledger/journal tool, not a cycle step."
Accounting 1st,Chapter 2,Dinajpur 2017,Board,Sales check returned dishonored. Which book is it recorded in?,a) Cash Book b) Purchase c) Sales d) Returns,a,Dishonored checks are updated in the Cash Book (Bank column).
Accounting 1st,Chapter 2,Dinajpur 2017,Board,Mr. Asad sold goods for 50k via check and deposited it. It was later dishonored. Which accounts are affected? i. Accounts Payable; ii. Accounts Receivable; iii. Sales.,"a) i & ii b) i & iii c) ii & iii d) i, ii & iii",c,Dishonor reverses the collection from the customer. The primary accounts affected are Bank and Accounts Receivable (প্রাপ্য হিসাব).
Accounting 1st,Chapter 3,MUNSHI ABDUR ROUF COLLEGE 2024,College,"When preparing a Bank Reconciliation Statement starting with ""Bank Balance as per Cash Book,"" which item should be subtracted?",a) Bank Charge b) Direct deposit by debtor c) Interest on investment d) Issued check not presented,a,Bank charges reduce the bank balance but aren't yet recorded as a subtraction in the Cash Book.
Accounting 1st,Chapter 3,VIQA RUNNISA NOON COLLEGE 2024,College,"A Bank Reconciliation Statement is: (i. Not an account, ii. Only a statement, iii. Not a stage of the accounting cycle)","a) i, ii b) i, iii c) ii, iii d) i, ii, iii",d,"It is a memorandum statement used for reconciliation, not a formal accounting book or cycle step."
Accounting 1st,Chapter 3,Rajshahi 2025,Board,What is recorded on the Credit side of a Bank Statement?,a) Interest on loan b) Withdrawals c) Deposits d) Bank charges,c,"In a Bank Statement (Passbook), deposits increase the balance and are credited."
Accounting 1st,Chapter 3,Rajshahi 2025,Board,"The Double-Column (Amended) Bank Reconciliation method—

i. Is done using both Cash Book & Bank Statement balances

ii. Results in both balances being equal after reconciliation

iii. Finds the correct bank balance","a) i & ii

b) i & iii

c) ii & iii

d) i, ii & iii",d,This method adjusts both books simultaneously to reach the true/corrected balance that should appear on the Balance Sheet.
Accounting 1st,Chapter 3,Rajshahi 2025,Board,"5,000 check deposited, but accountant recorded 500. Amount to add in BRS?","a) 500 b) 4,500 c) 5,000 d) 5,500",b,"$5,000 - 500 = 4,500$ must be added to match the actual bank balance."
Accounting 1st,Chapter 03,Rajshahi 2025,Board,Which of the following is recorded on the Credit side of the Bank Statement?,"a) Interest on bank loan

b) Withdrawal from bank

c) Deposit into bank

d) Bank charges",c,"In a Bank Statement (Passbook), a deposit is a credit because it increases the bank's liability to the customer."
Accounting 1st,Chapter 3,Rajshahi 2025,Board,"Cash Book balance is 50,000. A deposit of 5,000 was recorded as 500 by the accountant. Effect after correction?

i. Current Assets ↑

ii. Current Liabilities ↑

iii. Bank Balance ↑","a) i & ii

b) i & iii

c) ii & iii

d) i, ii & iii",b,"Correcting the under-recorded deposit (4,500) increases the Bank Balance, which is a Current Asset."
Accounting 1st,Chapter 3,Dinajpur 2025,Board,Who prepares the Bank Statement?,a) Depositor b) Investor c) Borrower d) Bank Authority,d,The bank prepares and provides the statement to the account holder.
Accounting 1st,Chapter 3,Dinajpur 2025,Board,"Cash Book: 20k. Direct dep: 5k, Rejected: 4k, Charge: 200. Bank Statement balance?","a) 29,200 b) 29,000 c) 20,800 d) 19,200",c,"$20,000 + 5,000 - 4,000 - 200 = 20,800$."
Accounting 1st,Chapter 3,Dinajpur 2025,Board,What does a Debit balance in the Bank Statement indicate?,a) Bank Fund b) Bank Deposit c) Bank Overdraft d) Cash Fund,c,A debit in the bank's books means the customer owes money (Overdraft).
Accounting 1st,Chapter 3,Dinajpur 2025,Board,"A Credit Memorandum is issued for—

i. Service charges

ii. Interest allowed/granted

iii. Collection of Notes Receivable","a) i & ii

b) i & iii

c) ii & iii

d) i, ii & iii",c,"A Credit Memo increases the customer's account. Service charges decrease it (Debit Memo), while interest and collections increase it."
Accounting 1st,Chapter 3,Barisal 2025,Board,Which accounting principle applies to preparing a BRS?,a) Conservatism b) Full Disclosure c) Consistency d) Matching,b,It discloses all reasons for differences between the two sets of records.
Accounting 1st,Chapter 3,Jessore 2025,Board,A check issued to a creditor but not yet presented is called:,a) In transit b) Outstanding check c) Advance check d) Rejected check,b,"Also known as ""Bokeya Check"" or ""Unpresented Check."""
Accounting 1st,Chapter 3,Jessore 2025,Board,"20,000 deposit recorded as 2,000 in Cash Book. Amount to adjust in BRS?","a) 2,000 b) 18,000 c) 20,000 d) 22,000",b,"$20,000 - 2,000 = 18,000$ must be added back to the Cash Book balance."
Accounting 1st,Chapter 3,Jessore 2025,Board,"Cash Book balance is 80,000. A 20,000 deposit was recorded as 2,000. Effect on the Financial Statement?

i. Fixed Asset ↑

ii. Current Asset ↑

iii. Bank Balance ↑","a) i & ii

b) i & iii

c) ii & iii

d) i, ii & iii",c,"Under-recording a deposit (by 18,000) means the actual Bank Balance and total Current Assets are higher than what was initially recorded."
Accounting 1st,Chapter 3,Jessore 2025,Board,350 interest received was wrongly credited as 530 in Cash Book. Amount to add?,a) 180 b) 350 c) 530 d) 880,d,$350$ (Actual) $+ 530$ (to reverse wrong entry) $= 880$.
Accounting 1st,Chapter 3,Jessore 2025,Board,Which transaction reduces a Bank Overdraft?,a) Check collection b) Check payment c) Rejection d) Bank charge,a,"Depositing or collecting a check adds money, reducing the negative balance."
Accounting 1st,Chapter 3,Sylhet 2025,Board,Full form of NSF?,a) Not Satisfying Fund b) National Fund c) Not Sufficient Fund,c,"Indicates a ""bounced"" check due to lack of money in the account."
Accounting 1st,Chapter 3,Sylhet 2025,Board,Who is considered the Client of a bank?,a) Person depositing b) Person opening and operating an account,b,The formal account holder is the bank's client.
Accounting 1st,Chapter 3,Sylhet 2025,Board,"Cash Book: 20k. Transit: 5k, Outstanding: 3k. Bank balance as per Cash Book?","a) 12,000 b) 15,000 c) 18,000 d) 22,000",c,"Starting from Cash Book: $20,000 + 3,000 - 5,000 = 18,000$."
Accounting 1st,Chapter 3,Sylhet 2025,Board,"If Overdraft is 10k, what is the Passbook balance with 5k transit & 3k outstanding?","a) 8,000 OD b) 12,000 OD c) 12,000 Dep",d,"Starting from OD: $10,000 + 5,000 - 3,000 = 12,000$ (Overdraft)."
Accounting 1st,Chapter 3,Chittagong 2025,Board,"Total difference: 15k dep, 450 int, 600 charge. What is the gap?","a) 14,400 b) 14,850 c) 15,450 d) 34,850",b,"Net difference $= 15,000 + 450 - 600 = 14,850$."
Accounting 1st,Chapter 3,Chittagong 2025,Board,What triggers a Debit Memorandum?,a) Note collected b) Int collected c) Service Charge d) Int allowed,c,Debit memos are for items that decrease your bank balance.
Accounting 1st Paper,Chapter 3,Dhaka 2025,Board,Which bank account is most applicable for a student?,a) Current A/Cb) Savings A/Cc) Fixed A/Cd) Monthly Savings A/C,b,Students usually prefer Savings Accounts as they offer small interest and flexible withdrawals.
Accounting 1st Paper,Chapter 3,Dhaka 2025,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Creditord) Owner,b,The depositor (account holder) prepares the BRS to match their Cash Book with the Bank Statement.
Accounting 1st Paper,Chapter 3,Mymensingh 2025,Board,What is the full form of 'NSF'?,a) Not Sufficient Fundb) Not Suitable Fundc) Not So Fundd) Not Significant Fund,a,"NSF stands for Not Sufficient Funds, indicating a bounced check due to lack of money in the account."
Accounting 1st Paper,Chapter 3,Dhaka 2024,Board,"In the ""Adjusted Cash Balance"" (Double-cell) method—i. Both Cash Book & Bank balances are used.ii. Both balances become equal after reconciliation.iii. Correct bank balance is found.","a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,This method corrects both sides simultaneously to reach the true/actual cash balance.
Accounting 1st Paper,Chapter 3,Dhaka 2024,Board,What is the full form of NSF?,a) Not Suitable Fundb) Non Significant Fundc) Non Sufficient Fundd) Net Saving Fund,c,"(Note: Both ""Not"" and ""Non"" are used, but ""Not/Non Sufficient Fund"" is the standard term)."
Accounting 1st Paper,Chapter 3,Dhaka 2024,Board,"What is meant by ""Deposit in Transit""?",a) Accumulated Checkb) Outstanding Checkc) Dishonored Checkd) Deposit in transit / In-transit Check,d,It refers to money sent to the bank but not yet recorded in the bank's statement.
Accounting 1st Paper,Chapter 3,Dhaka 2024,Board,Bank Charges charged by the bank are:i. Credited in Cash Bookii. Debited in Bank Statementiii. Credited in Bank Statement,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,"Bank Charges decrease balance, so the bank Debits the account and the depositor Credits the Cash Book."
Accounting 1st Paper,Chapter 3,Jessore 2024,Board,"Deposit in transit is 5,000 TK. How is this adjusted in the Double-Balance method?",a) Subtracted from Cash Bookb) Added to Cash Bookc) Added to Bank Statement balanced) Subtracted from Bank Statement balance,c,"Deposits in transit are items the bank hasn't added yet, so we add it to the Bank Statement balance."
Accounting 1st Paper,Chapter 3,Jessore 2024,Board,Which item requires an adjusting journal entry in the depositor's books?,a) Bank Service Chargeb) Bank Errorc) Deposit in Transitd) Outstanding Check,a,Only items the depositor was unaware of (like charges/interest) need new entries in the Cash Book.
Accounting 1st Paper,Chapter 3,Jessore 2024,Board,"Bank balance: 7,420; Outstanding check: 762; Deposit in transit: 1,120. What is the Adjusted Balance?","a) 6,658 TKb) 7,420 TKc) 7,778 TKd) 8,540 TK",c,"Calculation: 7,420−762+1,120=7,778."
Accounting 1st Paper,Chapter 3,Jessore 2024,Board,(Same data as #30) What is the Cash Book balance (Single entry method)?,"a) 5,598 TKb) 6,658 TKc) 7,420 TKd) 7,778 TK",a,"Calculation: 7,420−762+1,120−2,200+20=5,598."
Accounting 1st Paper,Chapter 3,Mymensingh 2024,Board,Interest received 450 was mistakenly Credited as 540 in Cash Book. What is the total difference?,a) 90 TKb) 450 TKc) 540 TKd) 990 TK,d,"It should have been Debited (+450). Instead, it was Credited (-540). Total gap = 450+540=990."
Accounting 1st Paper,Chapter 3,Mymensingh 2024,Board,Which item is subtracted from the Bank Statement balance?,a) Bank Chargeb) Bank Interestc) Uncollected Checkd) Withdrawal by Owner,c,"Checks deposited but not yet collected are added to Cash Book but subtracted from Bank (in some methods) or vice-versa. Here, it refers to items reducing the bank's side compared to the books."
Accounting 1st Paper,Chapter 3,Barisal 2024,Board,Bank charge 270 mistakenly Debited as 720 in Cash Book. What is the total difference?,a) 270 TKb) 450 TKc) 720 TKd) 990 TK,d,Correct: Credit 270. Error: Debit 720. Difference = 270+720=990.
Accounting 1st Paper,Chapter 3,Barisal 2024,Board,"What does a ""Credit Balance"" in the Bank Statement represent?",a) Cash Balanceb) Cash Withdrawalc) Bank Overdraftd) Bank Deposit Balance,d,"In a bank statement, Credit means money is in the account (favorable balance)."
Accounting 1st Paper,Chapter 3,Dinajpur 2024,Board,"For providing services, the bank deducts—i. Commissionii. Bank Chargesiii. Dividend","a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,"Banks collect commissions and charges; they pay dividends or collect them for you, not deduct them."
Accounting 1st Paper,Chapter 3,Sylhet 2024,Board,"Salary paid 10,000 by check, mistakenly Debited as 1,000 in Cash Book. Total difference?","a) 1,000b) 9,000c) 10,000d) 11,000",d,"Should be Credit 10,000. Error was Debit 1,000. Total gap = 10,000+1,000=11,000."
Accounting 1st Paper,Chapter 3,Sylhet 2024,Board,Reasons for disagreement between Cash Book and Bank Statement—i. Unpresented checkii. Uncollected checkiii. Bank interest allowed,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,All three are classic timing differences that cause the balances to differ.
Accounting 1st Paper,Chapter 3,Mymensingh 2024,Board,Who prepares the Bank Statement?,a) Borrowerb) Depositorc) Bank Authorityd) Investor,c,The bank prepares the Bank Statement/Passbook for the customer.
Accounting 1st Paper,Chapter 3,Rajshahi 2024,Board,Bank allowed interest 500 and deducted charges 500. What is the difference?,"a) 0 TKb) 500 TKc) 1,000 TKd) 1,500 TK",a,"The +500 and -500 cancel each other out, resulting in no net change to the balance."
Accounting 1st Paper,Chapter 3,Chittagong 2024,Board,What does a Credit Balance in the Bank Statement mean?,a) Bank Deposit Balanceb) Bank Overdraftc) Cash Book Debit Balanced) Cash Book Credit Balance,a,"A credit in the bank's books is a liability to them (money they owe you), meaning you have a deposit."
Accounting 1st Paper,Chapter 3,Chittagong 2024,Board,"Cash Book balance is 50,000. A deposit of 10,000 was recorded as 1,000 by the accountant. How much should be added/subtracted?","a) Subtract 9,000b) Add 9,000c) Add 10,000d) Add 11,000",b,"We recorded 1,000 but should have recorded 10,000. We need to add the remaining 9,000 (10,000−1,000) to the Cash Book."
Accounting 1st Paper,Chapter 3,Chittagong 2024,Board,(Ref #42) What is the effect on the Statement of Financial Position after correcting this error?,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,"Correcting a deposit error increases ""Cash at Bank"" (Current Asset). ""Cash in hand"" (i) is often used interchangeably in MCQs for total cash balance."
Accounting 1st Paper,Chapter 3,Jessore 2023,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Borrowerd) Creditor,b,It is the responsibility of the account holder (depositor) to reconcile their books.
Accounting 1st Paper,Chapter 3,Jessore 2023,Board,Which items will be Debited in the Bank Statement?i. Interest Chargedii. Bank Chargesiii. Interest Allowed,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,The bank Debits your account when they take money out (Charges/Interest on loan).
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,Who prepares the Bank Reconciliation Statement?,a) Accounts Receivableb) Accounts Payablec) Depositord) Bank,c,Same logic as #44.
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,Bank Overdraft refers to—i. Credit balance of Cash Bookii. Debit balance of Cash Bookiii. Debit balance of Bank Statement,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,Overdraft means we owe the bank. This is a Credit in our books and a Debit in the bank's books.
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,"Cash Book balance is 30,000. A check for 8,000 was deposited but not collected. What is the Passbook balance?","a) 8,000b) 22,000c) 30,000d) 38,000",b,"Passbook = Cash Book - Uncollected Deposit. 30,000−8,000=22,000."
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,Bank interest 250 was mistakenly credited as 520 in Cash Book. What is the total difference?,a) 250b) 270c) 520d) 770,d,"Interest should be Debited (+250). Instead, it was Credited (-520). Total gap = 250+520=770."
Accounting 1st Paper,Chapter 3,Rajshahi 2023,Board,What does a Debit balance in the Cash Book's bank column indicate?,a) Cash in handb) Bank Deposit Balancec) Overdraft amountd) Amount of checks received,b,"A Debit balance in the Cash Book is an asset, meaning you have money in the bank."
Accounting 1st Paper,Chapter 3,Rajshahi 2023,Board,"Cash Book: 3,000; Unpresented check: 1,000; Bank collection: 500; Dishonored check: 2,000. Bank Balance?","a) 2,500b) 3,000c) 3,500d) 4,000",a,"Bank Bal = 3,000+1,000+500−2,000=2,500."
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,Bank Overdraft means—i. Bank Statement Credit Balanceii. Bank Statement Debit Balanceiii. Cash Book Credit Balance,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",c,(Matches #47). Overdraft is a liability.
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,How is an NSF check shown in a Bank Reconciliation Statement?,a) Added to Cash Bookb) Subtracted from Cash Bookc) Added to Bank Statementd) Subtracted from Bank Statement,b,"An NSF (bounced) check reduces our actual balance, so it must be subtracted from the Cash Book."
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,"Cash Book: 30,400. Unpresented: 7,400. Dividend: 6,600. Bank Charge: 2,000. Passbook balance?","a) 27,600b) 29,200c) 31,600d) 42,400",d,"Passbook = 30,400+7,400+6,600−2,000=42,400."
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,"(Same data as #54) If Passbook is 25,000, what is the Cash Book balance?","a) 13,000b) 22,200c) 37,000d) 41,000",a,"Cash Book = 25,000−7,400−6,600+2,000=13,000."
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,"Bank Balance: 30,000. Uncollected: 10,000. Unpresented: 20,000. Cash Book balance?","a) 60,000b) 40,000c) 30,000d) 20,000",d,"Using Single Entry: 30,000+10,000−20,000=20,000."
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,Why is a deposit credited in the Bank Statement?,a) Bank asset increasesb) Bank liability increasesc) Bank asset decreasesd) Bank liability decreases,b,"When you deposit, the bank owes you that money back, so their liability increases."
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,From which account can money NOT be withdrawn before maturity?,a) Currentb) Savingsc) Fixed (FDR)d) Mobile,c,Fixed deposits have a specific term; withdrawing early usually involves a penalty or is restricted.
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,"In BRS, an unpresented (unpaid) check—",a) Added to Cash Balb) Subtracted from Cash Balc) Added to Bank Bald) Subtracted from Bank Bal,d,"In a reconciliation starting from the Cash Book, it is added. Starting from the Bank Statement, it is subtracted."
Accounting 1st Paper,Chapter 3,Barisal 2023,Board,What is a check called when it is dishonored due to lack of funds?,a) Bearer Checkb) Account Payeec) Crossed Checkd) NSF Check,d,NSF = Not Sufficient Funds.
Accounting 1st Paper,Chapter 3,Barisal 2023,Board,What does a Debit balance in the Passbook (Bank Statement) signify?,a) Bank Depositb) Cash Balancec) Bank Overdraftd) Cash Withdrawal,c,"ব্যাংকের বইতে ডেবিট মানে গ্রাহকের কাছে ব্যাংকের পাওনা, অর্থাৎ এটি ব্যাংক জমাতিরিক্ত বা Overdraft।"
Accounting 1st Paper,Chapter 3,Dinajpur 2023,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Debtorc) Depositord) Creditor,c,আমানতকারী বা হিসাবধারী তার নিজের নগদান বইয়ের সাথে ব্যাংকের বিবরণী মিলানোর জন্য BRS তৈরি করেন।
Accounting 1st Paper,Chapter 3,Dinajpur 2023,Board,For which of the following does the bank issue a Debit Memorandum?,a) Collection of Note Receivableb) Dishonor of deposited checkc) Deposit by debtord) Interest on bank balance,b,"যখন কোনো জমা দেওয়া চেক প্রত্যাখ্যান (Dishonor) হয়, ব্যাংক গ্রাহকের হিসাব থেকে টাকা কমিয়ে দেয় এবং ডেবিট মেমোরেন্ডাম ইস্যু করে।"
Accounting 1st Paper,Chapter 3,Mymensingh 2023,Board,Which of the following is included in a Credit Memorandum?,a) Bank Service Chargeb) Overdraft Interestc) Interest Earnedd) Check Printing Charge,c,"ক্রেডিট মেমোরেন্ডাম মানে ব্যাংক অ্যাকাউন্টে টাকা বৃদ্ধি পাওয়া। ব্যাংক যখন সুদ মঞ্জুর করে (Interest Earned), তখন এটি ক্রেডিট মেমো হিসেবে গণ্য হয়।"
Accounting 1st Paper,Chapter 3,Mymensingh 2023,Board,"Debit balance per bank statement is 40,000. Deposited check not yet credited is 5,000. What is the correct balance?","a) 30,000 TKb) 35,000 TKc) 40,000 TKd) 45,000 TK",b,"ডেবিট উদ্বৃত্ত (Overdraft) ৪০,০০০ টাকা থেকে জমা হওয়া ৫,০০০ টাকা বাদ দিলে সঠিক উদ্বৃত্ত হবে ৩৫,০০০ টাকা (ডেবিট)।"
Accounting 1st Paper,Chapter 3,Mymensingh 2023,Board,Which of the following is considered while preparing BRS?,a) Cash payment to supplierb) Cash collection of duesc) Bank interest recorded in both booksd) Outstanding checks,d,"যে লেনদেনগুলো নগদান বই ও ব্যাংক বিবরণীর মধ্যে সময়ের পার্থক্যের কারণে গরমিল সৃষ্টি করে (যেমন: বকেয়া বা অপরিশোধিত চেক), সেগুলোই BRS-এ আসে।"
Accounting 1st Paper,Chapter 3,Jessore 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Depositorb) Auditorc) Accounts Receivabled) Bank Account,a,আমানতকারী বা গ্রাহক এটি প্রস্তুত করেন।
Accounting 1st Paper,Chapter 3,Jessore 2022,Board,"While preparing BRS, which of the following must be subtracted from the bank balance?",a) Outstanding checksb) Bank service chargec) Dividend collected by bankd) Direct deposit by debtor,a,ব্যাংকের জের থেকে বকেয়া চেক (Outstanding checks) বিয়োগ করতে হয় কারণ এগুলো ব্যাংক থেকে এখনও পরিশোধিত হয়নি।
Accounting 1st Paper,Chapter 3,Jessore 2022,Board,Bank charged 600 TK for services which the customer doesn't know yet. How to show this in BRS?,"a) Subtract 600 from bank balanceb) Add 1,200 to cash balancec) Add 600 to bank balanced) Subtract 600 from cash balance",d,"ব্যাংক চার্জ কাটলে নগদান বইয়ের (Cash balance) উদ্বৃত্ত থেকে বিয়োগ করতে হয়, যেহেতু ব্যাংক ইতোমধ্যে এটি কেটে নিয়েছে।"
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Bank Authorityb) Investorc) Depositord) Borrower,c,আমানতকারী বা হিসাবধারী (এটি বারবার আসা একটি গুরুত্বপূর্ণ প্রশ্ন)।
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,Reasons for difference between Cash Book and Bank Statement—i) Direct collection by bankii) Direct payment by bankiii) Dishonor of deposited check,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,All three items cause a timing or information gap between the two books.
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,"Passbook balance: 60,800. Unpresented: 14,800. Dividend: 13,200. Bank charge: 4,000. Cash Book balance?","a) 28,800 TKb) 32,800 TKc) 36,800 TKd) 55,200 TK",c,"Start from Passbook: 60,800−14,800(unpresented)+4,000(charge)−13,200(dividend)=36,800."
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,"(Ref #72) If Cash Book is 50,000, what is the Passbook balance?","a) 59,200 TKb) 60,800 TKc) 70,000 TKd) 74,000 TK",d,"Start from Cash Book: 50,000+14,800+13,200−4,000=74,000."
Accounting 1st Paper,Chapter 3,Comilla 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Accounts Receivabled) Bank & Depositor,b,The depositor is the one who initiates the reconciliation process.
