Subject,Chapter,Level,Category,Question,Options,Answer,Explanation,HTML_Code
Accounting 1st Paper,Chapter 3,Jessore 2024,Board,(Same data as #30) What is the Cash Book balance (Single entry method)?,"a) 5,598 TKb) 6,658 TKc) 7,420 TKd) 7,778 TK",a,"Calculation: 7,420−762+1,120−2,200+20=5,598.",
Accounting 1st Paper,Chapter 3,Mymensingh 2024,Board,Interest received 450 was mistakenly Credited as 540 in Cash Book. What is the total difference?,a) 90 TKb) 450 TKc) 540 TKd) 990 TK,d,"It should have been Debited (+450). Instead, it was Credited (-540). Total gap = 450+540=990.",
Accounting 1st Paper,Chapter 3,Mymensingh 2024,Board,Which item is subtracted from the Bank Statement balance?,a) Bank Chargeb) Bank Interestc) Uncollected Checkd) Withdrawal by Owner,c,"Checks deposited but not yet collected are added to Cash Book but subtracted from Bank (in some methods) or vice-versa. Here, it refers to items reducing the bank's side compared to the books.",
Accounting 1st Paper,Chapter 3,Barisal 2024,Board,Bank charge 270 mistakenly Debited as 720 in Cash Book. What is the total difference?,a) 270 TKb) 450 TKc) 720 TKd) 990 TK,d,Correct: Credit 270. Error: Debit 720. Difference = 270+720=990.,
Accounting 1st Paper,Chapter 3,Barisal 2024,Board,"What does a ""Credit Balance"" in the Bank Statement represent?",a) Cash Balanceb) Cash Withdrawalc) Bank Overdraftd) Bank Deposit Balance,d,"In a bank statement, Credit means money is in the account (favorable balance).",
Accounting 1st Paper,Chapter 3,Dinajpur 2024,Board,"For providing services, the bank deducts—i. Commissionii. Bank Chargesiii. Dividend","a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,"Banks collect commissions and charges; they Payable dividends or collect them for you, not deduct them.",
Accounting 1st Paper,Chapter 3,Sylhet 2024,Board,"Salary paid 10,000 by check, mistakenly Debited as 1,000 in Cash Book. Total difference?","a) 1,000b) 9,000c) 10,000d) 11,000",d,"Should be Credit 10,000. Error was Debit 1,000. Total gap = 10,000+1,000=11,000.",
Accounting 1st Paper,Chapter 3,Sylhet 2024,Board,Reasons for disagreement between Cash Book and Bank Statement—i. Unpresented checkii. Uncollected checkiii. Bank interest allowed,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,All three are classic timing differences that cause the balances to differ.,
Accounting 1st Paper,Chapter 3,Mymensingh 2024,Board,Who prepares the Bank Statement?,a) Borrowerb) Depositorc) Bank Authorityd) Investor,c,The bank prepares the Bank Statement/Passbook for the customer.,
Accounting 1st Paper,Chapter 3,Rajshahi 2024,Board,Bank allowed interest 500 and deducted charges 500. What is the difference?,"a) 0 TKb) 500 TKc) 1,000 TKd) 1,500 TK",a,"The +500 and -500 cancel each other out, resulting in no net change to the balance.",
Accounting 1st Paper,Chapter 3,Chittagong 2024,Board,What does a Credit Balance in the Bank Statement mean?,a) Bank Deposit Balanceb) Bank Overdraftc) Cash Book Debit Balanced) Cash Book Credit Balance,a,"Asset credit in the bank's books is a liability to them (money they owe you), meaning you have a deposit.",
Accounting 1st Paper,Chapter 3,Chittagong 2024,Board,"Cash Book balance is 50,000. Asset deposit of 10,000 was recorded as 1,000 by the accountant. How much should be added/subtracted?","a) Subtract 9,000b) Add 9,000c) Add 10,000d) Add 11,000",b,"We recorded 1,000 but should have recorded 10,000. We need to add the remaining 9,000 (10,000−1,000) to the Cash Book.",
Accounting 1st Paper,Chapter 3,Chittagong 2024,Board,(Ref #42) What is the effect on the Statement of Financial Position after correcting this error?,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,"Correcting a deposit error increases ""Cash at Bank"" (Current Asset). ""Cash in hand"" (i) is often used interchangeably in MCQs for total cash balance.",
Accounting 1st Paper,Chapter 3,Jessore 2023,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Borrowerd) Creditor,b,It is the responsibility of the account holder (depositor) to reconcile their books.,
Accounting 1st Paper,Chapter 3,Jessore 2023,Board,Which items will be Debited in the Bank Statement?i. Interest Chargedii. Bank Chargesiii. Interest Allowed,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,The bank Debits your account when they take money out (Charges/Interest on loan).,
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,Who prepares the Bank Reconciliation Statement?,a) Accounts Receivableb) Accounts Payablec) Depositord) Bank,c,Same logic as #44.,
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,Bank Overdraft refers to—i. Credit balance of Cash Bookii. Debit balance of Cash Bookiii. Debit balance of Bank Statement,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,Overdraft means we owe the bank. This is a Credit in our books and a Debit in the bank's books.,
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,"Cash Book balance is 30,000. Asset check for 8,000 was deposited but not collected. What is the Passbook balance?","a) 8,000b) 22,000c) 30,000d) 38,000",b,"Passbook = Cash Book - Uncollected Deposit. 30,000−8,000=22,000.",
Accounting 1st Paper,Chapter 3,Dhaka 2023,Board,Bank interest 250 was mistakenly credited as 520 in Cash Book. What is the total difference?,a) 250b) 270c) 520d) 770,d,"Interest should be Debited (+250). Instead, it was Credited (-520). Total gap = 250+520=770.",
Accounting 1st Paper,Chapter 3,Rajshahi 2023,Board,What does a Debit balance in the Cash Book's bank column indicate?,a) Cash in handb) Bank Deposit Balancec) Overdraft amountd) Amount of checks received,b,"Asset Debit balance in the Cash Book is an asset, meaning you have money in the bank.",
Accounting 1st Paper,Chapter 3,Rajshahi 2023,Board,"Cash Book: 3,000; Unpresented check: 1,000; Bank collection: 500; Dishonored check: 2,000. Bank Balance?","a) 2,500b) 3,000c) 3,500d) 4,000",a,"Bank Balance = 3,000+1,000+500−2,000=2,500.",
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,Bank Overdraft means—i. Bank Statement Credit Balanceii. Bank Statement Debit Balanceiii. Cash Book Credit Balance,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",c,(Matches #47). Overdraft is a liability.,
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,How is an Not Sufficient Funds check shown in a Bank Reconciliation Statement?,a) Added to Cash Bookb) Subtracted from Cash Bookc) Added to Bank Statementd) Subtracted from Bank Statement,b,"An Not Sufficient Funds (bounced) check reduces our actual balance, so it must be subtracted from the Cash Book.",
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,"Cash Book: 30,400. Unpresented: 7,400. Dividend: 6,600. Bank Charge: 2,000. Passbook balance?","a) 27,600b) 29,200c) 31,600d) 42,400",d,"Passbook = 30,400+7,400+6,600−2,000=42,400.",
Accounting 1st Paper,Chapter 3,Chittagong 2023,Board,"(Same data as #54) If Passbook is 25,000, what is the Cash Book balance?","a) 13,000b) 22,200c) 37,000d) 41,000",a,"Cash Book = 25,000−7,400−6,600+2,000=13,000.",
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,"Bank Balance: 30,000. Uncollected: 10,000. Unpresented: 20,000. Cash Book balance?","a) 60,000b) 40,000c) 30,000d) 20,000",d,"Using Single Entry: 30,000+10,000−20,000=20,000.",
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,Why is a deposit credited in the Bank Statement?,a) Bank asset increasesb) Bank liability increasesc) Bank asset decreasesd) Bank liability decreases,b,"When you deposit, the bank owes you that money back, so their liability increases.",
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,From which account can money NOT be withdrawn before maturity?,a) Currentb) Savingsc) Fixed (FDR)d) Mobile,c,Fixed deposits have a specific term; withdrawing early usually involves a penalty or is restricted.,
Accounting 1st Paper,Chapter 3,Sylhet 2023,Board,"In Bank Reconciliation Statement, an unpresented (unpaid) check—",a) Added to Cash Balb) Subtracted from Cash Balc) Added to Bank Bald) Subtracted from Bank Balance,d,"In a reconciliation starting from the Cash Book, it is added. Starting from the Bank Statement, it is subtracted.",
Accounting 1st Paper,Chapter 3,Barisal 2023,Board,What is a check called when it is dishonored due to lack of funds?,a) Bearer Checkb) Account Payeec) Crossed Checkd) Not Sufficient Funds Check,d,Not Sufficient Funds = Not Sufficient Funds.,
Accounting 1st Paper,Chapter 3,Barisal 2023,Board,What does a Debit balance in the Passbook (Bank Statement) signify?,a) Bank Depositb) Cash Balancec) Bank Overdraftd) Cash Withdrawal,c,"ব্যাংকের বইতে ডেবিট মানে গ্রাহকের কাছে ব্যাংকের পাওনা, অর্থাৎ এটি ব্যাংক জমাতিরিক্ত বা Overdraft।",
Accounting 1st Paper,Chapter 3,Dinajpur 2023,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Debtorc) Depositord) Creditor,c,আমানতকারী বা হিসাবধারী তার নিজের নগদান বইয়ের সাথে ব্যাংকের বিবরণী মিলানোর জন্য Bank Reconciliation Statement তৈরি করেন।,
Accounting 1st Paper,Chapter 3,Dinajpur 2023,Board,For which of the following does the bank issue a Debit Memorandum?,a) Collection of Note Receivableb) Dishonor of deposited checkc) Deposit by debtord) Interest on bank balance,b,"যখন কোনো জমা দেওয়া চেক প্রত্যাখ্যান (Dishonor) হয়, ব্যাংক গ্রাহকের হিসাব থেকে টাকা কমিয়ে দেয় এবং ডেবিট মেমোরেন্ডাম ইস্যু করে।",
Accounting 1st Paper,Chapter 3,Mymensingh 2023,Board,Which of the following is included in a Credit Memorandum?,a) Bank Service Chargeb) Overdraft Interestc) Interest Earnedd) Check Printing Charge,c,"ক্রেডিট মেমোরেন্ডাম মানে ব্যাংক অ্যাকাউন্টে টাকা বৃদ্ধি পাওয়া। ব্যাংক যখন সুদ মঞ্জুর করে (Interest Earned), তখন এটি ক্রেডিট মেমো হিসেবে গণ্য হয়।",
Accounting 1st Paper,Chapter 3,Mymensingh 2023,Board,"Debit balance per bank statement is 40,000. Deposited check not yet credited is 5,000. What is the correct balance?","a) 30,000 TKb) 35,000 TKc) 40,000 TKd) 45,000 TK",b,"ডেবিট উদ্বৃত্ত (Overdraft) ৪০,০০০ টাকা থেকে জমা হওয়া ৫,০০০ টাকা বাদ দিলে সঠিক উদ্বৃত্ত হবে ৩৫,০০০ টাকা (ডেবিট)।",
Accounting 1st Paper,Chapter 3,Mymensingh 2023,Board,Which of the following is considered while preparing Bank Reconciliation Statement?,a) Cash payment to supplierb) Cash collection of duesc) Bank interest recorded in both booksd) Outstanding checks,d,"যে লেনদেনগুলো নগদান বই ও ব্যাংক বিবরণীর মধ্যে সময়ের পার্থক্যের কারণে গরমিল সৃষ্টি করে (যেমন: বকেয়া বা অপরিশোধিত চেক), সেগুলোই Bank Reconciliation Statement-এ আসে।",
Accounting 1st Paper,Chapter 3,Jessore 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Depositorb) Auditorc) Accounts Receivabled) Bank Account,a,আমানতকারী বা গ্রাহক এটি প্রস্তুত করেন।,
Accounting 1st Paper,Chapter 3,Jessore 2022,Board,"While preparing Bank Reconciliation Statement, which of the following must be subtracted from the bank balance?",a) Outstanding checksb) Bank service chargec) Dividend collected by bankd) Direct deposit by debtor,a,ব্যাংকের জের থেকে বকেয়া চেক (Outstanding checks) বিয়োগ করতে হয় কারণ এগুলো ব্যাংক থেকে এখনও পরিশোধিত হয়নি।,
Accounting 1st Paper,Chapter 3,Jessore 2022,Board,Bank charged 600 TK for services which the customer doesn't know yet. How to show this in Bank Reconciliation Statement?,"a) Subtract 600 from bank balanceb) Add 1,200 to cash balancec) Add 600 to bank balanced) Subtract 600 from cash balance",d,"ব্যাংক চার্জ কাটলে নগদান বইয়ের (Cash balance) উদ্বৃত্ত থেকে বিয়োগ করতে হয়, যেহেতু ব্যাংক ইতোমধ্যে এটি কেটে নিয়েছে।",
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Bank Authorityb) Investorc) Depositord) Borrower,c,আমানতকারী বা হিসাবধারী (এটি বারবার আসা একটি গুরুত্বপূর্ণ প্রশ্ন)।,
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,Reasons for difference between Cash Book and Bank Statement—i) Direct collection by bankii) Direct payment by bankiii) Dishonor of deposited check,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,All three items cause a timing or information gap between the two books.,
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,"Passbook balance: 60,800. Unpresented: 14,800. Dividend: 13,200. Bank charge: 4,000. Cash Book balance?","a) 28,800 TKb) 32,800 TKc) 36,800 TKd) 55,200 TK",c,"Start from Passbook: 60,800−14,800(unpresented)+4,000(charge)−13,200(dividend)=36,800.",
Accounting 1st Paper,Chapter 3,Rajshahi 2022,Board,"(Ref #72) If Cash Book is 50,000, what is the Passbook balance?","a) 59,200 TKb) 60,800 TKc) 70,000 TKd) 74,000 TK",d,"Start from Cash Book: 50,000+14,800+13,200−4,000=74,000.",
Accounting 1st Paper,Chapter 3,Comilla 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Accounts Receivabled) Bank & Depositor,b,The depositor is the one who initiates the reconciliation process.,
Accounting 1st Paper,Chapter 3,Comilla 2022,Board,Reasons for difference—i) Issued check not presentedii) Deposited check collectediii) 3rd party check directly deposited in bank,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,"If a check is collected (ii), both books will eventually match. Differences occur when one side hasn't recorded it yet (i and iii).",
Accounting 1st Paper,Chapter 3,Comilla 2022,Board,What does a Credit balance in the bank column (Cash Book) indicate?,a) Bank Overdraftb) Bank deposit omittedc) Bank Depositd) Debit balance,a,"In our Cash Book, a Credit means money going out or a negative balance (Overdraft).",
Accounting 1st Paper,Chapter 3,Chittagong 2022,Board,What is a check dishonored due to insufficient funds called?,a) Bearer Checkb) Asset/C Payeec) Crossed Checkd) Not Sufficient Funds Check,d,Not Sufficient Funds stands for Not Sufficient Funds.,
Accounting 1st Paper,Chapter 3,Chittagong 2022,Board,Interest allowed by the bank is—i) Credited in Passbookii) Debited in Passbookiii) Debited in Cash Book,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,"Interest allowed increases balance. Bank Credits (+ liability to them), we Debit (+ asset to us).",
Accounting 1st Paper,Chapter 3,Chittagong 2022,Board,"Asif Traders' bank statement shows a 10,000 Debit balance. What is this for Asif?",a) Incomeb) Expensec) Assetd) Liability,d,"Asset Debit in the bank's books means an Overdraft, which is a liability for the customer.",
Accounting 1st Paper,Chapter 3,Chittagong 2022,Board,"Cash Book: 28,000. Unpresented: 2,750. Dividend: 750. What is the total difference amount?","a) 750 TKb) 2,000 TKc) 2,750 TKd) 3,500 TK",d,"The ""gap"" is the sum of items not yet in both books: 2,750+750=3,500.",
Accounting 1st Paper,Chapter 3,Chittagong 2022,Board,(Ref #80) What is the Bank Statement balance?,"a) 24,500 TKb) 25,250 TKc) 31,500 TKd) 28,750 TK",c,"Calculation: 28,000(Cash)+2,750(Unpresented)+750(Dividend)=31,500.",
Accounting 1st Paper,Chapter 3,Barisal 2022,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Debtord) Creditor,b,The account holder (Depositor).,
Accounting 1st Paper,Chapter 3,Barisal 2022,Board,Which type of check cannot be cashed directly over the counter?,a) Order Checkb) Bearer Checkc) Traveler's Checkd) Crossed Check,d,Crossed checks must be deposited into a bank account.,
Accounting 1st Paper,Chapter 3,Barisal 2022,Board,What does a Debit balance in a Bank Statement signify?,a) Bank Fundb) Bank Depositc) Bank Overdraftd) Cash Fund,c,Same as #79; bank debit = customer's overdraft.,
Accounting 1st Paper,Chapter 3,Barisal 2022,Board,Under which principle is the Bank Reconciliation Statement prepared?,a) Conservatismb) Full Disclosurec) Consistencyd) Revenue-Expense,b,Bank Reconciliation Statement ensures the true financial position is revealed by explaining the gap between records.,
Accounting 1st Paper,Chapter 3,Dinajpur 2022,Board,Which of these is a Credit Memorandum?,a) Bank Service Chargeb) Not Sufficient Funds Checkc) Check Printing costd) Bank Interest Income,d,Credit memo = items that increase the bank balance (like interest earned).,
Accounting 1st Paper,Chapter 3,Dinajpur 2022,Board,Why is a deposit shown as a Credit in the Bank Statement?,a) Bank asset decreasesb) Bank liability increasesc) Bank expense increasesd) Bank income decreases,b,"Customer deposits are money the bank must return, making it their liability.",
Accounting 1st Paper,Chapter 3,Dinajpur 2022,Board,"Which will be included in Bank Reconciliation Statement on June 30?i) Check deposited June 27, collected June 29ii) Check issued but not presented yetiii) Check deposited but collected July 3",a) ib) iic) iiid) ii & iii,d,"Item (i) is already in both books by June 30. (ii) and (iii) are still ""in-transit"" on the 30th.",
Accounting 1st Paper,Chapter 3,Mymensingh 2022,Board,For which is a Debit Memorandum issued?,a) Bank Interest Allowedb) Dividend Collectionc) Collection of Note Receivable.d) Bank Service Charge,d,Debit memo = items that decrease the bank balance (like service charges).,
Accounting 1st Paper,Chapter 3,Mymensingh 2022,Board,Which is a reflection of the depositor's bank account?,a) Deposit Slipb) Bank Statementc) Fixed Depositd) Current Deposit,b,The Bank Statement (or Passbook) is a copy of the customer's ledger in the bank's books.,
Accounting 1st Paper,Chapter 3,Sylhet Board '22,Board,What does a Debit balance in the Bank Statement signify?,a) Bank Balanceb) Bank Overdraftc) Cash Withdrawald) Cash Balance,b,"In the bank's books, a Debit means the customer owes them money (Overdraft).",
Accounting 1st Paper,Chapter 3,Sylhet Board '22,Board,What does the bank deduct for providing services?i. Commissionii. Bank Chargeiii. Interest Allowed,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,Commission and charges are deductions. Interest allowed (iii) is an addition to the account.,
Accounting 1st Paper,Chapter 3,Sylhet Board '22,Board,"Jan 1 balance: 30,000. Jan 10: 10,000 check deposited. Jan 15: That check is dishonored. Balance on Jan 15?","a) 10,000b) 20,000c) 30,000d) 40,000",c,"(30,000+10,000)−10,000=30,000. The dishonor cancels out the previous deposit.",
Accounting 1st Paper,Chapter 3,Sylhet Board '22,Board,Due to a check dishonor—i. Accounts Receivable Drii. Accounts Payable Criii. Bank Account Credit,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,You must increase the Receivable (Debit) and decrease the Bank balance (Credit) to record the bounce.,
Accounting 1st Paper,Chapter 3,Jessore Board '21,Board,Bank Charges are—i. Credited in Cash Bookii. Debited in Bank Statementiii. Credited in Bank Statement,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,Charges reduce balance. Bank Debits their liability; we Credit our asset (Cash Book).,
Accounting 1st Paper,Chapter 3,Jessore Board '21,Board,Who prepares a Debit Memorandum?,a) Depositorb) Bankc) Tax Authorityd) Creditor,b,The bank issues memos to notify the customer of account adjustments.,
Accounting 1st Paper,Chapter 3,Jessore Board '21,Board,What does a Credit balance in the Bank Statement mean?,a) Bank Overdraftb) Bank Deposit Balancec) Fixed Depositd) Bank Loan,b,Asset Credit in the bank's books is a favorable balance for the depositor.,
Accounting 1st Paper,Chapter 3,Jessore Board '21,Board,Recorded on the Debit side of Cash Book (Bank column):i. Check/Cash depositii. Direct deposit by debtoriii. Bank interest allowed,"a) i & iib) ii & iiic) i & iiid) i, ii & iii",d,Any transaction increasing the bank balance is recorded on the Debit side of the Cash Book.,
Accounting 1st Paper,Chapter 3,Jessore Board '21,Board,"Cash Book balance 20,500. Asset deposited check of 10,500 was dishonored (unrecorded). Passbook balance?","a) 31,000b) 20,500c) 10,500d) 10,000",d,"The bank already deducted the dishonored check. Passbook = 20,500−10,500=10,000.",
Accounting 1st Paper,Chapter 3,Dhaka Board '21,Board,If an issued check is not presented—i. Cash Book balance is higherii. Cash Book balance is loweriii. Passbook balance is higher,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",c,"The Cash Book was reduced (lower), but the bank hasn't paid it yet (Passbook is higher).",
Accounting 1st Paper,Chapter 3,Dhaka Board '21,Board,When is Bank Reconciliation Statement prepared?,a) Any timeb) Specific datec) First date of periodd) Last date of period,b,It is prepared on a specific date to reconcile the two balances at that moment.,
Accounting 1st Paper,Chapter 3,Dhaka Board '21,Board,What is the Bank Reconciliation Statement also known as?,a) Account Statementb) Income Statementc) Expense Statementd) Reconciliation Statement,d,"It is a ""Matching"" or ""Reconciliation"" statement.",
Accounting 1st Paper,Chapter 3,Dhaka Board '21,Board,What is an Not Sufficient Funds check?,a) Deposited check dishonoredb) Deposited check collectedc) Issued check presentedd) Issued check not presented,a,Not Sufficient Funds (Not Sufficient Funds) implies a deposited check has bounced.,
Accounting 1st Paper,Chapter 3,Rajshahi Board '21,Board,500 TK charge was recorded twice in Cash Book. Difference in Bank Reconciliation Statement?,"a) 1,500b) 1,000c) 500d) 250",c,"Bank deducted 500; we deducted 1,000. The gap is the extra 500 we recorded in our books.",
Accounting 1st Paper,Chapter 3,Rajshahi Board '21,Board,What is the purpose of Bank Reconciliation Statement?,a) Know receiptsb) Find cash in handc) Find reasons for differenced) Determine bank balance,c,The goal is to identify why the two balances (Cash Book vs. Passbook) do not match.,
Accounting 1st Paper,Chapter 3,Comilla Board '21,Board,What does a Bank Reconciliation Statement reconcile?,a) Assets & Liabilitiesb) Cash Book & Passbook balancec) Total Assetsd) Receivable & Payable,b,It reconciles the bank column of the Cash Book with the Bank Statement.,
Accounting 1st Paper,Chapter 3,Comilla Board '21,Board,Bank Overdraft means—i. Cash Book Credit Balanceii. Bank Statement Debit Balanceiii. Bank Statement Credit Balance,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,"Overdraft is a liability: Credit in our books, Debit in the bank's books.",
Accounting 1st Paper,Chapter 3,Comilla Board '21,Board,What to do with an Not Sufficient Funds check in Bank Reconciliation Statement (starting from Cash Book balance)?,a) Add to Cash Bookb) Subtract from Cash Bookc) Add to Bank Statementd) Subtract from Bank Statement,b,"Since it reduces the actual cash we have, we subtract it from the Cash Book balance.",
Accounting 1st Paper,Chapter 3,Comilla Board '21,Board,What is the objective of Bank Reconciliation Statement?,a) Cash in hand balanceb) Identify reasons for disagreementc) Total cash receiptsd) Bank balance reasons,b,"Finding the ""why"" behind the difference between the two books.",
Accounting 1st Paper,Chapter 3,Chittagong Board '21,Board,When is a Credit Memorandum issued?i. Direct money collectionii. Investment interest collectioniii. Bills payable paid,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",a,Credit memos increase the balance. Paying bills (iii) would decrease it (Debit memo).,
Accounting 1st Paper,Chapter 3,Chittagong Board '21,Board,"What is meant by an ""Outstanding Check"" (বকেয়া চেক)?",a) Issued check not presented to bankb) Deposited check dishonoredc) Issued check dishonored by bankd) Deposited check not collected,a,Outstanding checks are those issued by the company but not yet presented to the bank for payment.,
Accounting 1st Paper,Chapter 3,Chittagong Board '21,Board,What is the purpose of preparing a Bank Reconciliation Statement?,a) Know reasons for bank balanceb) Know total cash receiptsc) Identify reasons for disagreementd) Determine cash in hand,c,The main objective is to find out why the Cash Book and Passbook balances differ.,
Accounting 1st Paper,Chapter 3,Sylhet Board '21,Board,What is the primary source of income for a bank?,a) Interest on depositsb) Interest on capitalc) Interest on loans providedd) Interest on overdraft,c,Banks earn primarily by charging higher interest on loans than they Payable on deposits.,
Accounting 1st Paper,Chapter 3,Sylhet Board '21,Board,Which of these reduces the depositor's bank balance?,a) Debit Memorandumb) Credit Memorandumc) Not Sufficient Funds Checkd) Deposit in Transit,a,"Asset Debit Memo indicates that the bank has deducted money from the account (e.g., charges).",
Accounting 1st Paper,Chapter 3,Barisal Board '21,Board,"Bank allows interest of 1,000 TK. Which account is Debited in the depositor's books?",a) Cash Asset/Cb) Bank Asset/Cc) Interest Expense Asset/Cd) Interest Income Asset/C,b,"When bank balance increases, the ""Bank Account"" is Debited in the Cash Book.",
Accounting 1st Paper,Chapter 3,Barisal Board '21,Board,For which of the following must the depositor record a journal entry?,a) Deposit in transitb) Outstanding checkc) Not Sufficient Funds or Dishonored checkd) Bank's error,c,Items already recorded by the bank but not yet in the Cash Book (like Not Sufficient Funds checks) require adjusting entries.,
Accounting 1st Paper,Chapter 3,Barisal Board '21,Board,Asset Debit Memo is issued when—i. Bank charge is appliedii. Bank makes direct paymentiii. Check is dishonored,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,"All three scenarios involve the bank taking money out of the account, which triggers a Debit Memo.",
Accounting 1st Paper,Chapter 3,Barisal Board '21,Board,"Cash Book balance: 28,000. Issued check not presented: 2,750. Dividend collected: 750. Amount of disagreement?","a) 750b) 2,000c) 2,750d) 3,500",d,"The total ""gap"" is the sum of items not yet in both books: 2,750+750=3,500.",
Accounting 1st Paper,Chapter 3,Barisal Board '21,Board,(Ref #118) What is the balance according to the Bank Statement?,"a) 31,500b) 30,750c) 30,000d) 26,000",a,"Bank Balance = 28,000(Cash Book)+2,750(Unpresented)+750(Dividend)=31,500.",
Accounting 1st Paper,Chapter 3,Dinajpur Board '21,Board,"Bank collects 4,000 TK dividend. Which account is Debited in the depositor's book?",a) Cash Asset/Cb) Accounts Receivablec) Bank Asset/Cd) Dividend Asset/C,c,"Collection increases the bank balance, so Bank Asset/C is Debited.",
Accounting 1st Paper,Chapter 3,Dinajpur Board '21,Board,What is it called when an item is in the bank statement but not yet credited in the Cash Book?,a) Debit Memorandumb) Credit Memorandumc) Debit Noted) Credit Note,a,"If it's something that should be credited (subtracted) in our Cash Book, it was likely a Debit Memo from the bank.",
Accounting 1st Paper,Chapter 3,Dinajpur Board '21,Board,What does a Credit balance in the Bank Statement signify?,a) Bank Deposit Balanceb) Bank Overdraftc) Cash in handd) Cash Book credit balance,a,Asset credit in the bank's records means they owe money to the depositor (Positive balance).,
Accounting 1st Paper,Chapter 3,Dinajpur Board '21,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Debtord) Creditor,b,Always the account holder (Depositor).,
Accounting 1st Paper,Chapter 3,Dinajpur Board '21,Board,Which is NOT a reason for a difference between Cash Book and Passbook?,a) Cash deposited in bankb) Bank charge not in Cash Bookc) Deposit in transitd) Unpresented check,a,Asset normal cash deposit recorded by both sides at the same time does not cause a disagreement.,
Accounting 1st Paper,Chapter 3,Mymensingh Board '21,Board,Who prepares the Bank Reconciliation Statement?,a) Bankb) Depositorc) Accounts Receivabled) Bank & Depositor,b,Same as #123. It is a internal document for the depositor.,
Accounting 1st Paper,Chapter 3,Jessore Board '19,Board,How many parties are usually involved in a Check?,a) 2b) 3c) 4d) 5,b,"Asset check has three parties: Drawer (issuer), Drawee (the bank), and Payee (receiver).",
Accounting 1st Paper,Chapter 3,Jessore Board '19,Board,"Cash Book balance: 38,000. Bank paid loan installment of 18,000 directly. Bank Statement balance?","a) 18,000b) 20,000c) 38,000d) 56,000",b,"Since bank already paid, their balance is lower: 38,000−18,000=20,000.",
Accounting 1st Paper,Chapter 3,Jessore Board '19,Board,Reasons for difference—i. Direct payment by bankii. Direct collection by bankiii. Dishonor of deposited check,"a) i & iib) i & iiic) ii & iiid) i, ii & iii",d,All three result in the bank recording something before the company does.,
Accounting 1st Paper,Chapter 3,Dhaka Board '19,Board,Bank charge 260 was mistakenly Debited as 620 in the Cash Book. Total difference?,a) 260b) 620c) 360d) 880,d,Charge should be Credit (-260). Mistakenly Debited (+620). Gap = 260+620=880.,
Accounting 1st Paper,Chapter 3,Rajshahi Board '19,Board,"How does bank interest allowed (2,000) affect the Cash Book?","a) Bank column Debit: 2,000b) Bank column Credit: 2,000c) Cash column Debit: 2,000d) Cash column Credit: 2,000",a,"Interest allowed increases bank balance, so it is Debited in the Bank Column.",
Accounting 1st Paper,Chapter 3,Rajshahi Board '19,Board,"Cash Book balance is 1,00,000. Asset deposited check of 10,000 was recorded as 1,000 by the accountant. What is the adjustment?","a) 1,000 TKb) 10,000 TKc) 9,000 TKd) 11,000 TK",c,"10,000 should have been added, but only 1,000 was. So, an additional 9,000 (10,000−1,000) must be added.",
Accounting 1st Paper,Chapter 3,Rajshahi Board '19,Board,(Ref #131) What is the impact of this error on the Balance Sheet? i. Current Asset upii. Current Liability upiii. Bank balance up," a) i & iib) i & iiic) ii & iiid) i, ii & iii",b,,
