Subject,Chapter,Type,Category,q_text,opt_a,opt_b,opt_c,opt_d,Answer,Explanation,HTML_Code
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore Board - 2024,board,Primary objective of Trial Balance?,Profit/Loss,Financial Position,Math accuracy of Ledger,Solvency,c,The core reason is to ensure Debits = Credits mathematically.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh Board - 2024,board,Purchase Return mistakenly recorded as Sales. Correcting entry?,"PR Debit, Accounts Payable Cr","Cash Debit, Sales Cr","Accounts Payable Debit, PR Cr","Sales Debit, PR Credit",d,To fix: Debit Sales (to cancel the wrong credit) and Credit Purchase Return (to record correctly).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh Board - 2024,board,Which of the following does NOT go to the Credit side of the Trial Balance?,Bad Debt Provision,Provision for Discount on Receivables,Provision for Discount on Payables,Capital Reserve,b,"Provisions on Assets (like Receivables) are usually Credits, but Provision for Discount on Receivables is a rare Debit.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal Board - 2024,board,Furniture purchase Debited to Purchase Account—what type of error is this?,Clerical,Compensating,Posting,Principle,d,Violating the rule between Capital (Asset) and Revenue (Expense) is a Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal Board - 2024,board,Asset balance of 28 was shown on the wrong side of the Trial Balance as 98. What is the total difference?,126,98,70,28,a,Difference = 28(Correct)+98(Wrong side)=126.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal Board - 2024,board,"Shown in the Debit column of Trial Balance:i. Asset, Expense, Drawingsii. Cash, Bank Overdraft, Receivableiii. Bank, Receivable, Accrued Income",i & ii,i & iii,ii & iii,"i, ii & iii",b,"Bank Overdraft (ii) is a Credit (Liability), so (ii) is incorrect. Assets, Expenses, and Accrued Incomes are Debits.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal Board - 2024,board,What is the balance of the Purchase Ledger?,Accounts Receivable,Accounts Payable,Bills Receivable,Bills Payable,b,The Purchase Ledger contains individual accounts of suppliers (Creditors/Payables).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal Board - 2024,board,Which task is performed through the Trial Balance?,Verification,Summarizing,Classification,Reconciliation,a,The primary goal is verifying the arithmetical accuracy of the Ledger.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur Board - 2024,board,"Ms. Jui buys supplies for 1,000 TK but records 900 in the Supplies Account. Correcting entry?","Supplies Debit 100, Suspense Credit 100","Supplies Debit 100, Cash Credit 100","Supplies Debit 900, Suspense Credit 900","Supplies Debit 1000, Suspense Credit 1000",a,"Since only the Supplies Account was short, we use Suspense Account to balance the correction.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur Board - 2024,board,(Ref #47) Due to this error—i. Debit total reduces by 100ii. Credit side increases by 100iii. Suspense Account needed for Debit side,i & ii,i & iii,ii & iii,"i, ii & iii",b,"Debit was short, so we must add 100 to the Debit side using a Suspense Account.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur Board - 2024,board,Purchase 10k (instead of 9k) and Sales 8k (instead of 7k). Trial Balance matches. Type of error?,Compensating,Omission,Principle,Writing,a,"Excess 1,000 TK on Debit was cancelled by excess 1,000 TK on Credit.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur Board - 2024,board,Suspense Account is a—,Temporary Account,Current Account,Permanent Account,Nominal Account,a,It is opened temporarily to match the Trial Balance and closed once errors are found.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet Board - 2024,board,"Opening. Stock 30k, Closing. Stock 20k, Adj. Purchase 1.2L, Opening. Stationery 5k. Which is EXCLUDED from Trial Balance?",Opening Stock,Adjusted Purchase,Closing Stock,Opening Stationery,a,"When Adjusted Purchase is present, Opening Stock is excluded.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet Board - 2024,board,"Purchase 45k (instead of 50k), Sales 35k (instead of 40k). Trial Balance matches. Type of error?",Writing,Compensating,Principle,Omission,b,Same logic as #49; errors cancel each other out.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet Board - 2024,board,As a result of Compensating Errors—i. Both sides will be equalii. Two accounts will have errorsiii. One account will have an error,i & ii,i & iii,ii & iii,"i, ii & iii",a,"By definition, it requires at least two errors to compensate each other.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet Board - 2024,board,Old machinery sale credited to Sales instead of Machinery. What error?,Principle,Compensating,Clerical,Posting,a,Capital vs Revenue violation = Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet Board - 2024,board,(Ref #52) How was the Trial Balance total affected?,10k increase,10k decrease,5k increase,5k decrease,d,"Both sides were short by 5,000 TK (50k−45k and 40k−35k).",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet Board - 2024,board,(Ref #51) How much was the actual Purchase during the year?,"1,40,000 TK","1,20,000 TK","1,10,000 TK","95,000 TK",c,"Purchase = Adj. Purchase+Closing. Stock−Opening. Stock=1,20,000 TK+20,000 TK−30,000 TK=1,10,000 TK.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi Board - 2024,board,Discount Allowed 550 was credited to Discount Account as 450. Difference in Trial Balance?,100,450,550,"1,000 TK",d,"Difference = 550(should be Debit)+450(wrongly Credit)=1,000 TK.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi Board - 2024,board,Which is a Principle Error?,Transaction not recorded,525 written as 552,Capital Expense. treated as Revenue Expense.,One error fixed by another,c,This is the classic definition of a Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong Board - 2024,board,Which is excluded from the Trial Balance?,Closing Stationery,Outstanding Salary,Opening Stock,Unearned Income,a,Closing stocks (like stationery) are excluded unless specifically adjusted.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong Board - 2024,board,Sale of an asset credited to Sales Account is what type of error?,Compensating,Principle,Omission,Writing,b,Capital receipt treated as Revenue receipt = Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2024,board,Which are NOT included in the Trial Balance?i. Opening Bankii. Opening Cashiii. Closing Stock,i & ii,i & iii,ii & iii,"i, ii & iii",d,"All three are generally excluded unless the ""Adjusted Purchase"" method is used.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2023,board,Where is an error in Ledger balance calculation detected?,Before TB,After TB,Income Statement,Balance Sheet,b,"Once you prepare the Trial Balance, the disagreement between Debit and Credit sides reveals the error.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2023,board,What is the formula for Adjusted Purchase?,Opening + Closing - Pur,Pur + Closing - Op,Opening + Pur - Cl,Pur + Opening - Closing,c,Adjusted Purchase = Opening Stock + Purchase - Closing Stock.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2023,board,Why is a Trial Balance prepared?,Financial Position,Profit/Loss,Permanent Record,Arithmetical Accuracy,d,Its core purpose is to verify the mathematical accuracy of accounts.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2023,board,Closing Stock is included in the Trial Balance if:i. Net Purchase is givenii. Gross Profit is giveniii. Cost of Goods Sold is given,i & ii,i & iii,ii & iii,"i, ii & iii",b,"If Purchases are already ""adjusted"" (i or iii), Closing Stock must be shown in the Trial Balance.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2023,board,"Capital 9k, Debtor 14k, Purchase 12k, Sales 22.5k, Salary 3k, Cash 8k, Creditor 7.5k, Closing. Stock 2k. Total Current Assets?","24,000 TK","27,000 TK","33,000 TK","36,000 TK",a,"Current Assets = Debtor (14k) + Cash (8k) + Closing. Stock (2k) = 24,000 TK.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2023,board,Suspense Account (গরমিল হিসাব) is a—,Real Account,Current Account,Permanent Account,Temporary Account,d,It is opened temporarily to balance the Trial Balance and closed when errors are found.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2023,board,Trial Balance connects which two?,Journal & Ledger,Ledger & Final Accounts,Ledger & Cash Book,Cash Book & Final Accounts,b,It summarizes Ledger balances and acts as the basis for Final Accounts.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2023,board,Rent received 100 was put on the Debit side. The Trial Balance total will be—,200 more on Dr,200 less on Dr,100 more on Cr,100 less on Credit,a,"Since an income (Credit) was moved to Debit, the Debit side will be inflated by 100+100=200.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2023,board,Where is a Ledger balancing error detected?,Income Statement,Trial Balance,Balance Sheet,Equity Statement,b,Same as #62. Discrepancies in the Trial Balance point to balancing errors.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2023,board,"What is ""Unexpired Cost"" (অনিঃশেষিত ব্যয়)?",Asset,Expense,Liability,Equity,a,"Costs that haven't been ""used up"" yet (like Prepaid Rent) are assets.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2023,board,Which is included in the Trial Balance?,Opening. Cash Fund,Opening. Stationery,Opening. Bank Deposit,Opening. Receivable,d,"All opening assets are excluded EXCEPT for those that are not liquid, like Opening Receivables or Stock.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2023,board,Which never appears in a Trial Balance column?i. Closing. Stockii. Closing. Cashiii. Opening. Bank,i & ii,i & iii,ii & iii,"i, ii & iii",b,"Normally, Closing Stock and Opening Bank/Cash are excluded from the Trial Balance.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2023,board,Which is shown on the Debit side?,General Reserve,Provision for Dis,on Debtorsc) Provision for Disc. on Creditors,Bad Debt Provision,c,Provision for Discount on Creditors is a Debit (a contra-liability).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2023,board,"Cash 10k, Debtor 8k, Creditor 2k, Rent 7k, Pur 15k, Capital 20k, Sales 12k. Suspense amount?",0,"5,000 TK","6,000 TK","10,000 TK",c,"Debit: 10+8+7+15=40k. Credit: 2+20+12=34k. Suspense = 6,000 TK (Credit).",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2023,board,(Ref #75) Increasing which would remove the Suspense Account? i. Incomeii. Liabilityiii. Asset ,i & ii,i & iii,ii & iii,"i, ii & iii",a,,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2023,board,Which is NOT included in Trial Balance?i. Opening. Cashii. Opening. Bankiii. Opening. Stock,i & ii,i & iii,ii & iii,"i, ii & iii",a,Opening Cash/Bank are excluded. Opening Stock is included unless Adjusted Purchase is used.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2023,board,Which will be in Trial Balance under Adjusted Purchase method?i. Adj. Purchaseii. Closing. Stockiii. Bank Overdraft,i & ii,i & iii,ii & iii,"i, ii & iii",d,"Under this method, both Adjusted Purchase and Closing Stock appear. Bank Overdraft is a standard item.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2023,board,Why is Bank Overdraft a Credit in the Trial Balance?i. Credit Ledger balanceii. It is a liabilityiii. It reduces profit,i & ii,i & iii,ii & iii,"i, ii & iii",a,"Liabilities have credit balances. Reducing profit (iii) is for expenses, not liabilities.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2023,board,Machine setup cost 10k included in Wages. Correcting entry?,"Machine Debit, Wages Cr","Machine Debit, Cash Cr","Wages Debit, Machine Cr","Setup Debit, Machine Credit",a,Debit the correct asset and Credit the wrong expense to remove it.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2023,board,Machinery installation cost (10k) included in Wages. What is the impact of correcting this?,Expense. up,Asset down,Income down,Expense. down,d,"Correcting it means removing 10k from Wages (Expense) and adding it to Machinery (Asset). So, Expenses decrease.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2023,board,"Receivable 20k, Payable 7k, Drawings 5k, Capital 50k, Pur 25k, Advance Receipt 3k. Suspense amount?",4k,5k,10k,30k,c,"Debit: 20+5+25=50k.Credit: 7+50+3=60k.Difference = 10,000 TK (Debit).",
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2023,board,(Ref #82) Impact of correctly recording the missing 10k Purchase:i. Direct Expense upii. Gross profit downiii. Capital down,i & ii,i & iii,ii & iii,"i, ii & iii",d,"More Purchase (Expense) increases direct costs, which lowers both Gross Profit and final Capital.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2022,board,Income received in advance is a—,Income,Liability,Asset,Expense,b,"It is a ""Unearned Revenue,"" which is a liability until the service is provided.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2022,board,Opening. Stock + Net Purchase - Closing. Stock = ?,Purchase,Adjusted Purchase,Sales,Payable,b,This is the fundamental formula for Adjusted Purchase.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2022,board,Which is a Tangible Fixed Asset?,Def. A,Goodwill,Patent,Building,d,Building is a physical (tangible) asset. Others are intangible or fictitious.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2022,board,What is shown on the Debit side of the Trial Balance?,Assets & Income,Assets & Expenses,Expenses & Income,Assets & Liabilities,b,Assets and Expenses always carry a normal Debit balance.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2022,board,What is the list of closing Ledger balances called?,Worksheet,Trial Balance,Adj. TB,Post-Closing. Trial Balance,b,This is the definition of a Trial Balance.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2022,board,Which of these is a Debit in the Trial Balance?,Unearned Income.,Apprentice Allowance,Pension Fund,Inv. Reserve,b,Apprentice Allowance (ভাতা) is an expense (Debit). Premium (সেলামী) would be income (Credit).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2022,board,Included in Trial Balance:i. Opening. Stationeryii. Opening. Stockiii. Opening. Bank,i & ii,i & iii,ii & iii,"i, ii & iii",a,Opening Stocks are included; Opening liquid cash/bank are not.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2022,board,"Normal Debit balance indicates:i. Income, ii. Expense, iii. Asset",i & ii,i & iii,ii & iii,"i, ii & iii",c,Expenses and Assets are Debits; Income is a Credit.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Cumilla  Board - 2022,board,When is Closing Stock included in the Trial Balance?,Credit Purchase,Credit Sales,No Opening. Stock,Adjusted Purchase,d,"Adjusted Purchase (Opening+Pur−Closing) already accounts for it, so Closing. Stock must be listed separately.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Cumilla  Board - 2022,board,Objectives of Trial Balance:i. Find Financial Positionii. Help in Final Accountsiii. Math accuracy,i & ii,i & iii,ii & iii,"i, ii & iii",c,"Finding financial position (i) is the job of the Balance Sheet, not the Trial Balance.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2022,board,Which set is correctly included in a Trial Balance?,"Opening. Stock, Adj. Pur, Premium","Gross Profit, Closing. Stock, Adv. Ins.","Opening. Stationery, Unused Stat., Wages","Closing. Stock, Cost of Goods Sold, Drawings",d,"If Cost of Goods Sold (Cost of Goods Sold) is present, Closing Stock and Drawings both appear in the Trial Balance.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2022,board,"Mr. Rahat (Furniture dealer) bought furniture for stock but Debited ""Furniture Account"". Error?",Clerical,Principle,Compensating,Omission,b,"For a dealer, furniture is an expense (Purchase). Debiting an Asset account is a Principle Error.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Chattogram Board - 2022,board,"Mr. Rahat is a furniture trader. He purchased furniture worth 3,00,000 TK from 'Star Furniture' at a 10% discount but mistakenly debited the Furniture Account. He took a table worth 3,000 TK for business use and sold half of the purchased goods for 1,50,000 TK, incurring 600 TK in transport costs. 

Q: What type of accounting error was committed in Mr. Rahat's books?",Clerical Error,Error of Principle,Compensating Error,Error of Omission,b,"Net Pur = 270k. Half = 135k. Profit = 150,000 TK−(135,000 TK+600)=14,400 TK.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2022,board,Which expresses a Debit balance?,Gen. Reserve,Dis,on Debtors Res.c) Bad Debt,Bad Debt Res.,c,Bad Debt is an expense (Debit). All reserves listed here are Credits.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2022,board,What is a Trial Balance?,An Account,List of Balances,Part of Fin. Stat.,Subsidiary Book,b,It is not an account; it is a statement or a list of ledger balances.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2022,board,Error while transferring from Journal to Ledger is called?,Omission,Writing,Posting,Compensating,b,"This is a ""Clerical Error"" specifically categorized as an Error of Commission/Writing.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2022,board,Not a Principle Error:i. Machine as Purchaseii. Sales not recordediii. Sales to X put in Y,i & ii,i & iii,ii & iii,"i, ii & iii",c,(i) is a principle error. (ii) is omission and (iii) is an error of commission (wrong account).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2022,board,"Machinery purchase written as ""Purchase"". Correcting entry?","Pur Debit, Cash Cr","Machine Debit, Pur Cr","Machine Debit, Cash Cr","Pur Debit, Machine Credit",b,Debit the correct Asset and Credit the wrong Expense to fix it.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2022,board,Which set usually has a Debit balance?,"Income, Capital, Asset","Liability, Capital, Exp","Asset, Drawings, Exp","Sales, Drawings, Disc",c,"Assets, Drawings, and Expenses/Costs always have normal Debit balances.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2022,board,Which is an example of a Contra-Liability (বিপরীত দায়)?,Bad Debt Prov.,Bad Debt,Disc. on Receivables Prov.,Disc. on Payables Prov.,d,"Provision for Discount on Payables reduces a liability, so it is a Contra-Liability (Debit).",
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2022,board,Which sits on the Credit side of the Trial Balance?,Sales Discount,Purchase Discount,Discount Allowed,Trade Discount,b,"Purchase Discount is an income/reduction in cost, so it is a Credit.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2022,board,Machinery repair 10k shown in Machinery Account. What error?,Writing,Principle,Omission,Compensating,b,Treating a Revenue expense (Repair) as a Capital expenditure (Asset) is a Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2022,board,Which is included in the Trial Balance?,Opening. Cash,Opening. Bank,Closing. Cash,Closing. Stock,c,Closing liquid assets (Cash/Bank) are included in the Trial Balance.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2022,board,Which error affects the Suspense Account?,Error in balancing,Principle Error,Compensating Error,Omission Error,a,"Math errors or balancing errors create a mismatch, requiring a Suspense Account.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2022,board,Rent received 5k was Debited to Rent Account. What error?,Writing,Principle,Omission,Commission,d,Posting to the wrong side of the correct account is an Error of Commission (বেদাখিলা).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2022,board,Preparing a Trial Balance using Ledger balances is called?,Identifying,Classifying,Posting,Summarizing,d,The Trial Balance is the first step in the Summarizing phase of accounting.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2022,board,Orpa buys supplies for 950 but records 900 in Supplies Account. Correcting entry?,"Supplies Debit 50, Suspense Credit 50","Supplies Debit 50, Cash Credit 50","Supplies Debit 900, Suspense Credit 900","Supplies Debit 950, Suspense Credit 950",a,"Since only the Supplies Account was under-recorded, we use Suspense to balance the correction.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2022,board,(Ref #110) Due to the error:i. Debit total is 50 shortii. Credit total is 50 moreiii. Suspense needed on Debit side,i & ii,i & iii,ii & iii,"i, ii & iii",b,"Supplies (Debit) was short, so the total Debit side is short by 50. Suspense fills that gap.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2021,board,Pur recorded 40k (instead of 50k) and Sales 84k (instead of 94k). Trial Balance difference?,"10,000 TK","20,000 TK","74,000 TK","84,000 TK",a,"The actual total should have been 10,000 TK higher on both sides.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2021,board,(Ref #112) What type of error is this?,Omission,Writing,Principle,Compensating,d,One error (10k short on Debit) is offset by another (10k short on Credit).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2021,board,What is a Trial Balance?,List of Ledger balances,An Account,Full Record,Partial Record,a,It is simply a statement listing the balances of all ledger accounts.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2021,board,Suspense Account is—i. Temporary Accountii. Interim Accountiii. Nominal Account,i & ii,i & iii,ii & iii,"i, ii & iii",a,"It is a temporary/provisional account, not a nominal (income/expense) account.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2021,board,Furniture bought for resale (Stock) put in Furniture Account. Correcting entry?,"Sales Debit, Furn Cr","Furn Debit, Sales Cr","Purchase Debit, Furn Cr","Pur Debit, Sales Credit",c,"For a dealer, this is a ""Purchase."" Fix by Debiting Purchase and Crediting Furniture.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2021,board,Which expresses a Debit balance?,Gen. Reserve,Bad Debt Res.,Disc. on Debtors Res.,Disc. on Creditors Res.,d,Provision for Discount on Creditors is a Debit (Contra-Liability).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2021,board,Which is excluded from Trial Balance?,Opening. Bank Overdraft,Closing. Bank Overdraft,Closing. Cash,Prelim. Expense.,a,Opening bank/cash balances are excluded.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2021,board,Adjusted Purchase =i. Sales - Closing. Stockii. Goods for Sale - Closing. Stockiii. Opening + Pur - Closing,i & ii,ii & iii,i & iii,"i, ii & iii",b,(ii) and (iii) are mathematically the same thing.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Cumilla  Board - 2021,board,What type of account is Suspense Account?,Capital,Fixed,Revenue,Temporary (সাময়িক),d,It exists only until errors are identified.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Cumilla  Board - 2021,board,"Asset balance of 2,000 TK was recorded in the correct column but as 200. What is the difference in the Trial Balance?","1,800 TK","2,000 TK","2,200 TK","4,000 TK",a,"Difference = 2,000 TK−200=1,800 TK. Since it stayed in the correct column, we just subtract.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Cumilla  Board - 2021,board,Which one is different from the other three?,Apprentice Premium,Apprentice Allowance,Insurance Premium,Utility Expense,a,Apprentice Premium is an Income (Credit). The other three are all Expenses (Debit).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Cumilla  Board - 2021,board,Repairing a building is debited to the Building Account. What type of error is this?,Writing,Principle,Omission,Compensating,b,Treating a Revenue expense (Repair) as a Capital expenditure (Asset) is a Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2021,board,"If Office Equipment purchase is debited to ""Purchase Account"", what error is this?",Writing,Compensating,Principle,Omission,c,Same as #123; confusing an Asset with an Expense violates accounting principles.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2021,board,Sales Return (আন্তঃফেরত) is mistakenly written as Purchase. Correcting entry?,"Sales Return Debit, Accounts Receivable Cr","Pur Debit, Sales Return Cr","Sales Return Debit, Pur Cr","Pur Debit, Cash Credit",c,Debit the correct account (Sales Return) and Credit the wrong account (Purchase) to cancel it.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Chittagong - 2021,board,"If Furniture Account was credited instead of debited, what must you do in the rectifying entry?",Debit double amount,Credit double amount,Debit same amount,Credit same amount,a,"To fix a ""wrong side"" error, you must debit double the amount (once to cancel the credit, once to record the debit).",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2021,board,Why is Purchase Return shown on the Credit side of the Trial Balance?,Decrease Income,Increase Income,Increase Exp,Decrease Expense,d,"Purchase Return reduces the total cost of goods bought, so it acts as a Decrease in Expense.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Sylhethet  Board - 2021,board,Purchase 60k instead of 50k; Sales 80k instead of 70k. Trial Balance matches. Type of error?,Compensating,Omission,Principle,Writing,a,The 10k excess on Debit (Purchase) is balanced by 10k excess on Credit (Sales).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2021,board,Recording a revenue expense as capital expenditure is called?,Principle,Omission,Clerical,Compensating,a,This is the standard definition of a Principle Error.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2021,board,What is the balance of the Sales Ledger?,Payable,Receivable,Sales Account,Sales Return Account,b,"The Sales Ledger tracks individual customers, which are Accounts Receivable.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2021,board,(i) Cash Purchase 15k not in Pur Account. (ii) Credit Sales 7k not in books. Suspense amount?,"7,000 TK","8,000 TK","15,000 TK","22,000 TK",c,"(ii) is a full omission (matches). (i) only skipped one side (Pur Account), so the Trial Balance is off by 15k.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Barishal  Board - 2021,board,(Ref #131) What is the rectifying entry for the credit sale?,"Accounts Receivable Debit, Sales Cr","Accounts Receivable Debit, Suspense Cr","Suspense Debit, Sales Cr","Sales Debit, Suspense Credit",a,This is a simple entry for a transaction that was completely forgotten.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2021,board,Which pair is recorded in the Credit column?,Accrued Expense / Inc,Prepaid Expense / Inc,Accrued Expense / Unearned Inc,Prepaid Expense / Accrued Income,c,Accrued Expenses and Unearned Income are both Liabilities (Credit).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2021,board,Writing 382 instead of 328 is what kind of error?,Compensating,Principle,Omission,Writing (Commission),d,Mistyping or transposing numbers is an Error of Commission/Writing.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dinajpur  Board - 2021,board,Tool to verify arithmetical accuracy?,Journal,Trial Balance,BRS,Ledger,b,This is the primary function of the Trial Balance.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2021,board,Accounts Receivable Debit 33k (instead of 30k) and Pur Debit 50k (instead of 53k). What error?,Omission,Compensating,Writing,Principle,b,"One debit is 3k too high, another is 3k too low. They cancel out.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Mymensingh - 2021,board,When is Closing Stock included in Trial Balance?,Credit sales present,Credit purchase present,No Opening Stock,Adj Purchase present,d,"As seen in earlier years, Adjusted Purchase is the key trigger for Closing Stock in Trial Balance.",
Accounting 1st Paper,Chapter 4 : Trial Balance,Jashore  Board - 2019,board,Which of these is a Credit?,Wages,Salary,Furniture,General Reserve,d,Reserves/Provisions are Credit balances. Others are Expenses/Assets (Debit).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2019,board,"Writing 500 instead of 5,000 TK is what error?",Compensating,Principle,Omission,Writing,d,Amount error = Error of Commission (Writing).,
Accounting 1st Paper,Chapter 4 : Trial Balance,Dhaka  Board - 2019,board,Discount Received 100 was put on the Debit side. Trial Balance impact?,Debit side 200 more,Debit side 200 less,Credit side 100 more,Credit side 100 less,a,Moving a Credit item to the Debit side creates a double difference (200) on the Debit side.,
Accounting 1st Paper,Chapter 4 : Trial Balance,Rajshahi  Board - 2019,board,An error that violates the rules and principles of accounting is called—,Writing,Compensating,Principle,Commission,c,Violating the distinction between Capital and Revenue is a Principle Error.,
